Máscara,Tipo,Descrição,Saldo anterior,Tipo Saldo,Débito,Crédito,Saldo atual,Tipo Saldo,Entidade,ID_Entidade
,,5-Conta Bancária+FR - 001  13838  15.002-9  17003120,"1.254.199,00",D,"450.000,00",0,"1.704.199,00",D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  17003210,"500.000,00",D,0,0,"500.000,00",D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  17007000,"459.262,56",D,0,0,"459.262,56",D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  17047000,"4.493,68",C,0,0,"4.493,68",C,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  17557000,0,D,0,"2.785,25","2.785,25",C,,
1.1.1.1.1.19.00.02.02.000026,Analitica,BANCO DO BRASIL S/A - FNS INVESTIMENTO SUS,"119.635,59",D,"7.427,29","23.731,15","103.331,73",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  15.009-6  15001002,"3.080,00",C,0,0,"3.080,00",C,,
,,5-Conta Bancária+FR - 001  13838  15.009-6  16007000,"19.420,52",D,0,"21.736,26","2.315,74",C,,
,,5-Conta Bancária+FR - 001  13838  15.009-6  16017000,"37.045,15",D,"7.427,29","1.994,89","42.477,55",D,,
,,5-Conta Bancária+FR - 001  13838  15.009-6  17003120,"274.600,00",C,0,0,"274.600,00",C,,
,,5-Conta Bancária+FR - 001  13838  15.009-6  17003210,"285.654,00",D,0,0,"285.654,00",D,,
,,5-Conta Bancária+FR - 001  13838  15.009-6  17007000,"55.195,92",D,0,0,"55.195,92",D,,
1.1.1.1.1.19.00.02.02.000027,Analitica,BANCO DO BRASIL S/A - REPASSES ESPECIAIS - SAUDE,"428.599,20",D,"27.948,14","141.950,00","314.597,34",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  16.297-3  16217000,"174.999,99",C,0,"141.950,00","316.949,99",C,,
,,5-Conta Bancária+FR - 001  13838  16.297-3  16317000,"45.158,35",D,0,0,"45.158,35",D,,
,,5-Conta Bancária+FR - 001  13838  16.297-3  17003210,"139.750,00",D,0,0,"139.750,00",D,,
,,5-Conta Bancária+FR - 001  13838  16.297-3  17007000,"3.970,75",D,0,0,"3.970,75",D,,
,,5-Conta Bancária+FR - 001  13838  16.297-3  17017000,"76.992,20",C,0,0,"76.992,20",C,,
,,5-Conta Bancária+FR - 001  13838  16.297-3  17103210,"626.351,05",D,"27.948,14",0,"654.299,19",D,,
,,5-Conta Bancária+FR - 001  13838  16.297-3  27103210,"134.638,76",C,0,0,"134.638,76",C,,
1.1.1.1.1.19.00.02.02.000028,Analitica,BANCO DO BRASIL S/A - AQUISIÇÃO DE ULTRASSOM,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  16.899-8  16327000,"84.890,00",D,0,0,"84.890,00",D,,
